Velocidade local,Dia da Semana,Cond Aderência,Zona,Tipos Vias,Estado Conservação,Factores Atmosféricos,Reg Circulação1,Intersecção Vias,Localizações,Luminosidade,Marca Via,Natureza,Obras Arte,Sinais,Sinais Luminosos,Tipo Piso,Traçado 1,Traçado 2,Traçado 3,Traçado 4,Via Trânsito,Periodo do Dia,Tipo de Acidente,Data
50.0,Terça-Feira  ,Molhado,CENTRO,IC - Itinerário Complementar,Em estado regular,Chuva,Sentido único,Em rotunda,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,despiste,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Curva,Com inclinação,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2017:01:31
80.0,Sexta-Feira  ,Molhado,NORTE,A  - Auto-Estrada,Em bom estado,Chuva,Sentido único,Fora da intersecção,Fora das localidades,"Noite, sem iluminação",Com marcas - separadoras de sentido de trânsito,colisão,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Manha,ligeiro,2013:01:25
50.0,Quarta-Feira ,Seco e limpo,CENTRO,EN - Estrada Nacional,Em bom estado,Bom tempo,Sentido único,Em rotunda,Fora das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,colisão,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Curva,Com inclinação,Berma pavimentada,Em plena via,Direita,Tarde,grave,2011:01:26
50.0,Quarta-Feira ,Molhado,AREA METROPOLITANA DE LISBOA,Arruamento,Em mau estado,Chuva,Dois sentidos,Em entroncamento,Dentro das localidades,"Noite, com iluminação",Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Com inclinação,Berma pavimentada,Em plena via,Direita,Noite,ligeiro,2015:01:21
50.0,Terça-Feira  ,Seco e limpo,CENTRO,Arruamento,Em bom estado,Bom tempo,Dois sentidos,Em entroncamento,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido de trânsito,despiste,NÃO DEFINIDO,Stop,Inexistentes,Betuminoso,Curva,Com inclinação,Berma não pavimentada,Em plena via,Direita,Tarde,ligeiro,2015:01:13
120.0,Sábado       ,Seco e limpo,NORTE,A  - Auto-Estrada,Em bom estado,Bom tempo,Sentido único,Fora da intersecção,Fora das localidades,Aurora ou crepúsculo,Com marcas - separadoras de sentido e de vias de trânsito,colisão,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2015:01:17
50.0,Sexta-Feira  ,Molhado,CENTRO,Arruamento,Em estado regular,Bom tempo,Sentido único,Fora da intersecção,Dentro das localidades,Em pleno dia,Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,NÃO DEFINIDO,Inexistentes,Betuminoso,Recta,NÃO DEFINIDO,Sem berma ou impraticável,Em plena via,Direita,Tarde,ligeiro,2014:01:24
50.0,Terça-Feira  ,Seco e limpo,CENTRO,Arruamento,Em bom estado,Bom tempo,Dois sentidos,Em entroncamento,Dentro das localidades,"Noite, com iluminação",Sem marcas rodoviárias ou pouco visíveis,colisão,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Curva,Em patamar,Sem berma ou impraticável,Em plena via,Direita,Madrugada,ligeiro,2011:01:25
50.0,Segunda-Feira,Seco e limpo,ALENTEJO,EN - Estrada Nacional,Em bom estado,Bom tempo,Dois sentidos,Fora da intersecção,Dentro das localidades,Em pleno dia,Com marcas - separadoras de sentido e de vias de trânsito,colisão,NÃO DEFINIDO,Outros,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Tarde,ligeiro,2011:01:24
50.0,Segunda-Feira,Húmido,NORTE,Arruamento,Em bom estado,Chuva,Dois sentidos,Em via de aceleração,Dentro das localidades,"Noite, com iluminação",Com marcas - separadoras de sentido de trânsito,atropelamento,NÃO DEFINIDO,Passagem de peões,Inexistentes,Betuminoso,Recta,Em patamar,Berma pavimentada,Em plena via,Direita,Manha,ligeiro,2015:01:19
